"Country","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007"
"Chile",1.50142313926471,1.86890361888088,1.57007119830425,1.40606154930801,1.5423969752415,1.57864938788529,1.45639956487778,1.87882842054641,1.82993150548252,1.71875025170588
"China",3.16682779119039,3.34101192548566,3.14294696883086,3.24152226709796,3.15276829106082,3.24540309517865,3.12544126522944,3.25418884426693,3.37869574212802,3.34987392088545
"Colombia",0.803840267939306,0.806728953601156,0.886959281881503,0.838754718502312,0.762085164988439,0.723270775504046,0.689259802162428,0.707976381523699,0.764276910228902,0.823739384515029
"Comoro Islands",0.126969408831429,0.125692222507143,0.161900603062857,0.147646169501429,0.169919883557143,0.156562740028571,0.14123690051,0.148587801422857,0.152920520608571,0.13788424649
"Cook Islands",0.0491006791417722,0.0434739003341772,0.0421841376278481,0.041525407364557,0.0381184251696203,0.0369253913544304,0.0358692597392405,0.041924813435443,0.0406733526835443,0.0390006565670886
"Costa Rica",0.284251636748804,0.550970070308612,0.575954633629187,0.631902087003589,0.434004156732057,0.359720251064593,0.51211152897488,0.360706294827751,0.346921322066986,0.423200542361244
"Croatia",0.350626331055556,0.30345865465,0.309120893834722,0.331102110394444,0.294467893144444,0.242452774715278,0.282370364727778,0.274048022255556,0.2828507481,0.262903788151389
"Cuba",0.438760078467487,0.444101072532865,0.422905601680492,0.432672904101582,0.447065763191213,0.440011267406678,0.415081628992619,0.490352579843937,0.515002590201406,0.50071794706116
"Cyprus",0.113809898630919,0.112285000728412,0.11740816867688,0.10939709971727,0.110805615740947,0.107017718791086,0.102566126470752,0.100671154203343,0.113049854253482,0.119898848153203
"Denmark",4.97607483735886,3.93700845267287,4.42508053304923,3.46572687999672,3.91041177379103,3.25040884246608,3.51248641966302,3.285160299593,3.99075036219694,5.34741831635339
"Djibouti",0.740399942735294,0.690296220985294,0.555446650676471,0.539513672573529,0.6334566085,0.657322806352941,0.822702642455882,0.946512519838235,0.812741819397059,0.681133766014706
"Dominica",0.148762666358108,0.150490440743243,0.159226205344595,0.149468006790541,0.152198148804054,0.173420948621622,0.152970721533784,0.127283809027027,0.157038095398649,0.175459449581081
"Dominican Republic",0.127418350814509,0.109136974683196,0.116329666660239,0.112659721184573,0.110181023218549,0.110387761435262,0.114812652832874,0.104522609863177,0.119395740760331,0.120441309374656
"Ecuador",0.598757300188453,0.597735947368192,0.780046099591503,0.859244395296841,0.587623554882898,0.617450998448257,0.548385089090959,0.519149122815904,0.66215047397549,0.614673841616013
"Egypt",0.225090242942614,0.219202083648778,0.253845593708289,0.241746072183316,0.239878687250797,0.238724390785335,0.223802366352816,0.221500465077577,0.236221130478746,0.260874174778427
"El Salvador",0.399209492345725,0.603553689182156,0.937292094245353,0.900897094133829,0.719042293531599,0.580537313579926,0.86832287567658,0.673465843944238,0.571942483996283,0.679880531018587
"Equatorial Guinea",1.09037882196893,1.20406083383495,1.13585808975728,0.934038508811651,0.981175992180582,0.981308980759223,1.63070754921748,1.03029312339806,1.12236913958058,1.07542343057476
"Eritrea",1.36176053263165,1.48822564819918,1.40631324282128,1.48157617847476,1.46643241427694,1.77865807107503,1.88125428736699,1.79180343770396,1.98243075521828,1.68027718430969
"Estonia",7.65855556537736,10.1759583583509,8.54389027567547,9.53906078084906,10.2190518195321,8.07613754976415,9.04020233985849,11.6905238346962,10.4235732224038,10.9610116859264
"Faeroe Islands",0.687383862705382,1.06625116115439,0.836205214334278,1.20914029567989,1.11834930424079,1.09910230013739,1.28934502391501,0.722894489893768,0.833290807655807,0.69399610736119
"Falkland Islands",1.36099736728915,1.61483393144264,1.08150492975194,1.06840990056512,1.42516775280388,1.20517022131163,1.30374558840233,1.01132273926124,1.22776928712868,1.49236180211318
"Fiji",0.156216487694656,0.163546604515267,0.171202896265649,0.161886324567939,0.161096565324427,0.167700963103053,0.167162962220611,0.162745540646565,0.172503501229008,0.175761251787023
"Finland",8.27632377713537,8.92661309447744,8.85660844639228,9.68945755334352,9.80119649709098,8.3237871305262,8.38312183243013,9.92583788811863,10.3705665381776,10.6216402154985
